diagram,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI
A,0.022485577,0.019898535,0.021188952,0.019615309,0.019979512,0.022372086,0.021603581,0.022770236,0.023996297,0.018561247,0.022446046,0.020520362,0.024112212,0.022539112,0.020658693,0.020969802,0.025062174,0.022021863,0.018637949,0.022326197,0.020608486,0.021908766,0.021850985,0.020655757,0.020222237,0.021806911,0.021962993,0.021303609,0.021342354,0.020510198,0.020156443,0.02063349,0.019136722,0.021661422,0.022775482,0.02210009,0.02157369,0.021561931,0.023520928,0.022039233,0.021336047,0.023315761,0.022079118,0.02304284,0.020088481,0.019351927,0.022799257,0.019995623,0.020599113,0.020438602,0.022508301,0.021280548,0.021113184,0.017939376,0.023878998,0.022701498,0.022476881,0.020877146,0.018197231,0.022885541,0.02368638,0.020892623,0.019549518,0.021951499,0.017274034,0.022062332,0.020958828,0.02268249,0.02190319,0.023728449,0.017334183,0.022808482,0.020200117,0.024363881,0.01758949,0.024003774,0.020786842,0.01997997,0.019771588,0.024035864,0.016771718,0.022603582,0.019881315,0.021335509,0.021876587,0.02390427,0.02249147,0.020351081,0.023860877,0.022372695,0.020905679,0.020830708,0.023221186,0.02179297,0.022313211,0.021217868,0.023328413,0.021862256,0.023166723,0.017599138
A,0.022485577,0.019898535,0.021188952,0.019615309,0.019979512,0.022372086,0.021603581,0.022770236,0.023996297,0.018561247,0.022446046,0.020520362,0.024112212,0.022539112,0.020658693,0.020969802,0.025062174,0.022021863,0.018637949,0.022326197,0.020608486,0.021908766,0.021850985,0.020655757,0.020222237,0.021806911,0.021962993,0.021303609,0.021342354,0.020510198,0.020156443,0.02063349,0.019136722,0.021661422,0.022775482,0.02210009,0.02157369,0.021561931,0.023520928,0.022039233,0.021336047,0.023315761,0.022079118,0.02304284,0.020088481,0.019351927,0.022799257,0.019995623,0.020599113,0.020438602,0.022508301,0.021280548,0.021113184,0.017939376,0.023878998,0.022701498,0.022476881,0.020877146,0.018197231,0.022885541,0.02368638,0.020892623,0.019549518,0.021951499,0.017274034,0.022062332,0.020958828,0.02268249,0.02190319,0.023728449,0.017334183,0.022808482,0.020200117,0.024363881,0.01758949,0.024003774,0.020786842,0.01997997,0.019771588,0.024035864,0.016771718,0.022603582,0.019881315,0.021335509,0.021876587,0.02390427,0.02249147,0.020351081,0.023860877,0.022372695,0.020905679,0.020830708,0.023221186,0.02179297,0.022313211,0.021217868,0.023328413,0.021862256,0.023166723,0.017599138
A,0.022485577,0.019898535,0.021188952,0.019615309,0.019979512,0.022372086,0.021603581,0.022770236,0.023996297,0.018561247,0.022446046,0.020520362,0.024112212,0.022539112,0.020658693,0.020969802,0.025062174,0.022021863,0.018637949,0.022326197,0.020608486,0.021908766,0.021850985,0.020655757,0.020222237,0.021806911,0.021962993,0.021303609,0.021342354,0.020510198,0.020156443,0.02063349,0.019136722,0.021661422,0.022775482,0.02210009,0.02157369,0.021561931,0.023520928,0.022039233,0.021336047,0.023315761,0.022079118,0.02304284,0.020088481,0.019351927,0.022799257,0.019995623,0.020599113,0.020438602,0.022508301,0.021280548,0.021113184,0.017939376,0.023878998,0.022701498,0.022476881,0.020877146,0.018197231,0.022885541,0.02368638,0.020892623,0.019549518,0.021951499,0.017274034,0.022062332,0.020958828,0.02268249,0.02190319,0.023728449,0.017334183,0.022808482,0.020200117,0.024363881,0.01758949,0.024003774,0.020786842,0.01997997,0.019771588,0.024035864,0.016771718,0.022603582,0.019881315,0.021335509,0.021876587,0.02390427,0.02249147,0.020351081,0.023860877,0.022372695,0.020905679,0.020830708,0.023221186,0.02179297,0.022313211,0.021217868,0.023328413,0.021862256,0.023166723,0.017599138
A,0.022485577,0.019898535,0.021188952,0.019615309,0.019979512,0.022372086,0.021603581,0.022770236,0.023996297,0.018561247,0.022446046,0.020520362,0.024112212,0.022539112,0.020658693,0.020969802,0.025062174,0.022021863,0.018637949,0.022326197,0.020608486,0.021908766,0.021850985,0.020655757,0.020222237,0.021806911,0.021962993,0.021303609,0.021342354,0.020510198,0.020156443,0.02063349,0.019136722,0.021661422,0.022775482,0.02210009,0.02157369,0.021561931,0.023520928,0.022039233,0.021336047,0.023315761,0.022079118,0.02304284,0.020088481,0.019351927,0.022799257,0.019995623,0.020599113,0.020438602,0.022508301,0.021280548,0.021113184,0.017939376,0.023878998,0.022701498,0.022476881,0.020877146,0.018197231,0.022885541,0.02368638,0.020892623,0.019549518,0.021951499,0.017274034,0.022062332,0.020958828,0.02268249,0.02190319,0.023728449,0.017334183,0.022808482,0.020200117,0.024363881,0.01758949,0.024003774,0.020786842,0.01997997,0.019771588,0.024035864,0.016771718,0.022603582,0.019881315,0.021335509,0.021876587,0.02390427,0.02249147,0.020351081,0.023860877,0.022372695,0.020905679,0.020830708,0.023221186,0.02179297,0.022313211,0.021217868,0.023328413,0.021862256,0.023166723,0.017599138
A,0.022485577,0.019898535,0.021188952,0.019615309,0.019979512,0.022372086,0.021603581,0.022770236,0.023996297,0.018561247,0.022446046,0.020520362,0.024112212,0.022539112,0.020658693,0.020969802,0.025062174,0.022021863,0.018637949,0.022326197,0.020608486,0.021908766,0.021850985,0.020655757,0.020222237,0.021806911,0.021962993,0.021303609,0.021342354,0.020510198,0.020156443,0.02063349,0.019136722,0.021661422,0.022775482,0.02210009,0.02157369,0.021561931,0.023520928,0.022039233,0.021336047,0.023315761,0.022079118,0.02304284,0.020088481,0.019351927,0.022799257,0.019995623,0.020599113,0.020438602,0.022508301,0.021280548,0.021113184,0.017939376,0.023878998,0.022701498,0.022476881,0.020877146,0.018197231,0.022885541,0.02368638,0.020892623,0.019549518,0.021951499,0.017274034,0.022062332,0.020958828,0.02268249,0.02190319,0.023728449,0.017334183,0.022808482,0.020200117,0.024363881,0.01758949,0.024003774,0.020786842,0.01997997,0.019771588,0.024035864,0.016771718,0.022603582,0.019881315,0.021335509,0.021876587,0.02390427,0.02249147,0.020351081,0.023860877,0.022372695,0.020905679,0.020830708,0.023221186,0.02179297,0.022313211,0.021217868,0.023328413,0.021862256,0.023166723,0.017599138
A,0.044157573,0.037888828,0.042169956,0.037915206,0.037503718,0.044625,0.040719878,0.044894547,0.04712457,0.037324878,0.044213314,0.042034489,0.047378481,0.04342731,0.038752604,0.04063659,0.047832713,0.041714821,0.036966445,0.043173346,0.038817259,0.041310008,0.041906659,0.040540876,0.038949324,0.040104543,0.041573655,0.042219001,0.042397244,0.039368413,0.038751553,0.040462863,0.037616528,0.040840299,0.044373632,0.045214752,0.042090788,0.04125625,0.045843048,0.042439501,0.040484618,0.043097284,0.043490038,0.044977956,0.040298447,0.034753124,0.044288002,0.037549631,0.039404105,0.039611703,0.044321425,0.041981381,0.041757165,0.034181466,0.04596706,0.045095455,0.043183409,0.041595004,0.0352879,0.045335823,0.045933819,0.039883773,0.0385265,0.041610631,0.034148657,0.042330914,0.041831521,0.044810986,0.040464361,0.045567666,0.034321669,0.04550988,0.040691048,0.045581899,0.034889005,0.046171241,0.042155116,0.037735291,0.038458895,0.045914795,0.034156602,0.043550309,0.039560454,0.041816469,0.040773694,0.044228741,0.045063406,0.039765735,0.045036426,0.043141044,0.040923336,0.038610812,0.046242595,0.042634198,0.043947967,0.039524543,0.044362269,0.042991617,0.045107556,0.035512847
A,0.044157573,0.037888828,0.042169956,0.037915206,0.037503718,0.044625,0.040719878,0.044894547,0.04712457,0.037324878,0.044213314,0.042034489,0.047378481,0.04342731,0.038752604,0.04063659,0.047832713,0.041714821,0.036966445,0.043173346,0.038817259,0.041310008,0.041906659,0.040540876,0.038949324,0.040104543,0.041573655,0.042219001,0.042397244,0.039368413,0.038751553,0.040462863,0.037616528,0.040840299,0.044373632,0.045214752,0.042090788,0.04125625,0.045843048,0.042439501,0.040484618,0.043097284,0.043490038,0.044977956,0.040298447,0.034753124,0.044288002,0.037549631,0.039404105,0.039611703,0.044321425,0.041981381,0.041757165,0.034181466,0.04596706,0.045095455,0.043183409,0.041595004,0.0352879,0.045335823,0.045933819,0.039883773,0.0385265,0.041610631,0.034148657,0.042330914,0.041831521,0.044810986,0.040464361,0.045567666,0.034321669,0.04550988,0.040691048,0.045581899,0.034889005,0.046171241,0.042155116,0.037735291,0.038458895,0.045914795,0.034156602,0.043550309,0.039560454,0.041816469,0.040773694,0.044228741,0.045063406,0.039765735,0.045036426,0.043141044,0.040923336,0.038610812,0.046242595,0.042634198,0.043947967,0.039524543,0.044362269,0.042991617,0.045107556,0.035512847
A,0.044157573,0.037888828,0.042169956,0.037915206,0.037503718,0.044625,0.040719878,0.044894547,0.04712457,0.037324878,0.044213314,0.042034489,0.047378481,0.04342731,0.038752604,0.04063659,0.047832713,0.041714821,0.036966445,0.043173346,0.038817259,0.041310008,0.041906659,0.040540876,0.038949324,0.040104543,0.041573655,0.042219001,0.042397244,0.039368413,0.038751553,0.040462863,0.037616528,0.040840299,0.044373632,0.045214752,0.042090788,0.04125625,0.045843048,0.042439501,0.040484618,0.043097284,0.043490038,0.044977956,0.040298447,0.034753124,0.044288002,0.037549631,0.039404105,0.039611703,0.044321425,0.041981381,0.041757165,0.034181466,0.04596706,0.045095455,0.043183409,0.041595004,0.0352879,0.045335823,0.045933819,0.039883773,0.0385265,0.041610631,0.034148657,0.042330914,0.041831521,0.044810986,0.040464361,0.045567666,0.034321669,0.04550988,0.040691048,0.045581899,0.034889005,0.046171241,0.042155116,0.037735291,0.038458895,0.045914795,0.034156602,0.043550309,0.039560454,0.041816469,0.040773694,0.044228741,0.045063406,0.039765735,0.045036426,0.043141044,0.040923336,0.038610812,0.046242595,0.042634198,0.043947967,0.039524543,0.044362269,0.042991617,0.045107556,0.035512847
A,0.044157573,0.037888828,0.042169956,0.037915206,0.037503718,0.044625,0.040719878,0.044894547,0.04712457,0.037324878,0.044213314,0.042034489,0.047378481,0.04342731,0.038752604,0.04063659,0.047832713,0.041714821,0.036966445,0.043173346,0.038817259,0.041310008,0.041906659,0.040540876,0.038949324,0.040104543,0.041573655,0.042219001,0.042397244,0.039368413,0.038751553,0.040462863,0.037616528,0.040840299,0.044373632,0.045214752,0.042090788,0.04125625,0.045843048,0.042439501,0.040484618,0.043097284,0.043490038,0.044977956,0.040298447,0.034753124,0.044288002,0.037549631,0.039404105,0.039611703,0.044321425,0.041981381,0.041757165,0.034181466,0.04596706,0.045095455,0.043183409,0.041595004,0.0352879,0.045335823,0.045933819,0.039883773,0.0385265,0.041610631,0.034148657,0.042330914,0.041831521,0.044810986,0.040464361,0.045567666,0.034321669,0.04550988,0.040691048,0.045581899,0.034889005,0.046171241,0.042155116,0.037735291,0.038458895,0.045914795,0.034156602,0.043550309,0.039560454,0.041816469,0.040773694,0.044228741,0.045063406,0.039765735,0.045036426,0.043141044,0.040923336,0.038610812,0.046242595,0.042634198,0.043947967,0.039524543,0.044362269,0.042991617,0.045107556,0.035512847
A,0.044157573,0.037888828,0.042169956,0.037915206,0.037503718,0.044625,0.040719878,0.044894547,0.04712457,0.037324878,0.044213314,0.042034489,0.047378481,0.04342731,0.038752604,0.04063659,0.047832713,0.041714821,0.036966445,0.043173346,0.038817259,0.041310008,0.041906659,0.040540876,0.038949324,0.040104543,0.041573655,0.042219001,0.042397244,0.039368413,0.038751553,0.040462863,0.037616528,0.040840299,0.044373632,0.045214752,0.042090788,0.04125625,0.045843048,0.042439501,0.040484618,0.043097284,0.043490038,0.044977956,0.040298447,0.034753124,0.044288002,0.037549631,0.039404105,0.039611703,0.044321425,0.041981381,0.041757165,0.034181466,0.04596706,0.045095455,0.043183409,0.041595004,0.0352879,0.045335823,0.045933819,0.039883773,0.0385265,0.041610631,0.034148657,0.042330914,0.041831521,0.044810986,0.040464361,0.045567666,0.034321669,0.04550988,0.040691048,0.045581899,0.034889005,0.046171241,0.042155116,0.037735291,0.038458895,0.045914795,0.034156602,0.043550309,0.039560454,0.041816469,0.040773694,0.044228741,0.045063406,0.039765735,0.045036426,0.043141044,0.040923336,0.038610812,0.046242595,0.042634198,0.043947967,0.039524543,0.044362269,0.042991617,0.045107556,0.035512847
